Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;01.01.2016;34.847.925,75;13.719.344,00;8.134.378,25;69.042.093,25;34.879.418,00;945.629,75;84.363.546,00;133.797.737,75;81.138.682,00;15.225.937,75;9.937.217,50;52.968.562,50
01.01.2016;01.01.2017;39.745.459,00;18.075.859,50;12.093.138,00;65.274.745,25;34.538.936,25;1.403.463,00;80.242.466,25;130.375.596,75;80.889.964,00;22.888.796,25;8.587.613,25;47.246.327,00
01.01.2017;01.01.2018;40.328.389,50;15.590.416,00;17.414.191,50;85.190.050,75;35.883.181,00;1.754.386,25;72.213.976,50;129.286.596,75;66.005.509,50;25.580.368,00;9.287.439,00;12.013.192,00
01.01.2018;01.01.2019;40.088.992,25;15.542.079,75;19.068.415,50;89.269.797,25;41.233.945,75;1.530.969,75;71.841.657,00;128.329.972,75;71.545.262,50;42.878.209,50;8.879.494,50;12.085.127,00
01.01.2019;01.01.2020;39.478.585,50;16.471.220,75;24.382.827,00;99.728.308,00;41.706.959,00;1.557.516,00;71.042.164,25;102.728.678,00;47.815.284,50;54.619.705,25;8.610.896,75;13.225.241,75
01.01.2020;01.01.2021;39.966.301,25;15.945.659,50;26.883.159,25;103.083.181,75;45.784.303,00;1.602.116,50;60.923.886,25;83.374.010,00;34.871.983,75;67.621.507,50;10.817.558,75;12.753.899,75
