Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Sonstige erneuerbare Energien;27764;e;25401;e
;;Klärschlamm;3041;e;2658;e
;;Abfall (Hausmüll, Industrie);312942;e;233628;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14192287;e;13459262;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;473;e;473;e
;;Andere Speicher;-;;-;
;;Insgesamt;45403283;e;42450106;e
;April;Steinkohlen;10373168;e;9567448;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12627825;e;11658294;e
;;Hartbraunkohlen;224032;e;204789;e
;;Braunkohlenbriketts;2636;e;2199;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;46417;e;41573;e
;;Sonstige Braunkohlen;6605;e;6178;e
;;Dieselkraftstoff;207;e;189;e
;;Heizöl, leicht;37647;e;34352;e
;;Heizöl, schwer;45765;e;42131;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;37211;e;34057;e
;;Sonstige Mineralölprodukte;83885;e;76882;e
;;Erdgas, Erdölgas;3492244;e;3355661;e
;;Grubengas;18416;e;16934;e
;;Kokereigas;4557;e;4188;e
;;Hochofengas;255719;e;242132;e
;;Sonstige hergestellte Gase;21425;e;19787;e
;;Wasserstoff;-;;-;
;;Laufwasser;1519960;e;1498684;e
;;Speicherwasser;167516;e;163671;e
;;Pumpspeicherwasser;332583;e;326503;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;10492;e;9629;e
;;Photovoltaik;405;e;392;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;15021;e;13607;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2868;e;2727;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;977;e;963;e
;;Deponiegas;9499;e;9051;e
;;Sonstige erneuerbare Energien;30633;e;28154;e
;;Klärschlamm;1996;e;1707;e
;;Abfall (Hausmüll, Industrie);306349;e;229742;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12787268;e;12137025;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;792;e;792;e
;;Andere Speicher;-;;-;
;;Insgesamt;42464119;e;39729440;e
;Mai;Steinkohlen;8545081;e;7864876;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12331339;e;11377287;e
;;Hartbraunkohlen;192303;e;174806;e
;;Braunkohlenbriketts;2196;e;1862;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;10710;e;8862;e
;;Sonstige Braunkohlen;5999;e;5564;e
;;Dieselkraftstoff;158;e;146;e
;;Heizöl, leicht;37541;e;34373;e
;;Heizöl, schwer;51607;e;47082;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;15887;e;14312;e
;;Sonstige Mineralölprodukte;23657;e;21828;e
;;Erdgas, Erdölgas;2451615;e;2360126;e
;;Grubengas;23716;e;21329;e
;;Kokereigas;5630;e;5058;e
;;Hochofengas;286216;e;269619;e
;;Sonstige hergestellte Gase;23436;e;21451;e
;;Wasserstoff;-;;-;
;;Laufwasser;1733795;e;1713581;e
;;Speicherwasser;156683;e;152268;e
;;Pumpspeicherwasser;329817;e;326095;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;6597;e;6172;e
;;Photovoltaik;197;e;187;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;13979;e;12615;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2568;e;2426;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1007;e;993;e
;;Deponiegas;8915;e;8456;e
;;Sonstige erneuerbare Energien;21916;e;20126;e
;;Klärschlamm;2012;e;1721;e
;;Abfall (Hausmüll, Industrie);345998;e;262389;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13094510;e;12412223;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;1258;e;1258;e
;;Andere Speicher;-;;-;
;;Insgesamt;39726343;e;37149091;e
;Juni;Steinkohlen;8045972;e;7397929;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11867076;e;10948427;e
;;Hartbraunkohlen;156491;e;143069;e
;;Braunkohlenbriketts;2285;e;1937;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;17740;e;15809;e
;;Sonstige Braunkohlen;8576;e;7905;e
;;Dieselkraftstoff;352;e;317;e
;;Heizöl, leicht;33588;e;31182;e
;;Heizöl, schwer;48167;e;44332;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;18766;e;17249;e
;;Sonstige Mineralölprodukte;99904;e;91435;e
;;Erdgas, Erdölgas;2386429;e;2286543;e
;;Grubengas;27108;e;24320;e
;;Kokereigas;6155;e;5518;e
;;Hochofengas;284579;e;268093;e
;;Sonstige hergestellte Gase;23171;e;21237;e
;;Wasserstoff;-;;-;
;;Laufwasser;1551303;e;1531272;e
;;Speicherwasser;104637;e;101649;e
;;Pumpspeicherwasser;341847;e;335473;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;7131;e;6641;e
;;Photovoltaik;144;e;141;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;17388;e;16235;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2330;e;2186;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;957;e;944;e
;;Deponiegas;10046;e;9583;e
;;Sonstige erneuerbare Energien;22105;e;20319;e
;;Klärschlamm;2881;e;2520;e
;;Abfall (Hausmüll, Industrie);332989;e;244024;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13158624;e;12456241;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;803;e;803;e
;;Andere Speicher;-;;-;
;;Insgesamt;38579546;e;36033335;e
;Juli;Steinkohlen;8416559;e;7743337;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12648410;e;11700442;e
;;Hartbraunkohlen;141324;e;128576;e
;;Braunkohlenbriketts;2648;e;2225;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;44758;e;40226;e
;;Sonstige Braunkohlen;14186;e;13138;e
;;Dieselkraftstoff;317;e;261;e
;;Heizöl, leicht;27362;e;24877;e
;;Heizöl, schwer;37297;e;34372;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;2177;e;1949;e
;;Sonstige Mineralölprodukte;53378;e;48777;e
;;Erdgas, Erdölgas;2338346;e;2236580;e
;;Grubengas;21773;e;19548;e
;;Kokereigas;5192;e;4655;e
;;Hochofengas;283139;e;267652;e
;;Sonstige hergestellte Gase;24744;e;22791;e
;;Wasserstoff;-;;-;
;;Laufwasser;1511959;e;1495199;e
;;Speicherwasser;95890;e;93233;e
;;Pumpspeicherwasser;315762;e;308115;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;4445;e;4007;e
;;Photovoltaik;132;e;130;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;17033;e;15803;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2506;e;2343;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1057;e;1042;e
;;Deponiegas;8962;e;8600;e
;;Sonstige erneuerbare Energien;30208;e;27525;e
;;Klärschlamm;2569;e;2285;e
;;Abfall (Hausmüll, Industrie);374351;e;282982;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13417968;e;12693108;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;4397;e;3628;e
;;Andere Speicher;-;;-;
;;Insgesamt;39848850;e;37227406;e
;August;Steinkohlen;9336583;e;8592100;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12447372;e;11491770;e
;;Hartbraunkohlen;189513;e;172558;e
;;Braunkohlenbriketts;3036;e;2601;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;37239;e;32848;e
;;Sonstige Braunkohlen;9470;e;8755;e
;;Dieselkraftstoff;96;e;81;e
;;Heizöl, leicht;48722;e;44419;e
;;Heizöl, schwer;36661;e;33610;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;11317;e;10600;e
;;Sonstige Mineralölprodukte;116224;e;106225;e
;;Erdgas, Erdölgas;2247046;e;2149390;e
;;Grubengas;24856;e;22280;e
;;Kokereigas;5506;e;4933;e
;;Hochofengas;304702;e;285008;e
;;Sonstige hergestellte Gase;19367;e;17585;e
;;Wasserstoff;-;;-;
;;Laufwasser;1647983;e;1630664;e
;;Speicherwasser;100794;e;97294;e
;;Pumpspeicherwasser;372208;e;364637;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;4290;e;4249;e
;;Photovoltaik;114;e;112;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;14385;e;12969;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2427;e;2262;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1006;e;992;e
;;Deponiegas;9447;e;8988;e
;;Sonstige erneuerbare Energien;26908;e;24610;e
;;Klärschlamm;2925;e;2610;e
;;Abfall (Hausmüll, Industrie);355557;e;267389;e
;;Abfall (Industrie);-;;-;
