Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Sonstige hergestellte Gase;276;e;276;e
;;Wasserstoff;-;;-;
;;Laufwasser;1100307;e;1076842;e
;;Speicherwasser;44058;e;43484;e
;;Pumpspeicherwasser;680420;e;670602;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;35226;e;35141;e
;;Photovoltaik;379;e;377;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;165376;e;152265;e
;;Flüssige biogene Stoffe;4497;e;4253;e
;;Biogas;1694;e;1556;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2159;e;2099;e
;;Deponiegas;15078;e;14323;e
;;Sonstige erneuerbare Energien;35790;e;33020;e
;;Klärschlamm;18363;e;16770;e
;;Abfall (Hausmüll, Industrie);647537;e;497800;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14413846;e;13682151;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;41984;e;39639;e
;;Andere Speicher;-;;-;
;;Insgesamt;44745902;e;41813254;e
;November;Steinkohlen;11628174;e;10732879;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12945413;e;11871730;e
;;Hartbraunkohlen;8040;e;6424;e
;;Braunkohlenbriketts;2055;e;1731;e
;;Braunkohlenkoks;126;e;97;e
;;Wirbelschichtkohle;39373;e;32986;e
;;Staub- und Trockenkohle;46903;e;42190;e
;;Sonstige Braunkohlen;17445;e;16488;e
;;Dieselkraftstoff;867;e;832;e
;;Heizöl, leicht;57357;e;53778;e
;;Heizöl, schwer;89795;e;82941;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;52537;e;48563;e
;;Sonstige Mineralölprodukte;58951;e;53919;e
;;Erdgas, Erdölgas;5414128;e;5237618;e
;;Grubengas;48674;e;44935;e
;;Kokereigas;5203;e;4764;e
;;Hochofengas;249071;e;231903;e
;;Sonstige hergestellte Gase;21828;e;20269;e
;;Wasserstoff;-;;-;
;;Laufwasser;955251;e;939904;e
;;Speicherwasser;39768;e;39229;e
;;Pumpspeicherwasser;687292;e;666232;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;44282;e;44158;e
;;Photovoltaik;468;e;466;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;169244;e;157897;e
;;Flüssige biogene Stoffe;5416;e;5130;e
;;Biogas;1633;e;1513;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2210;e;2042;e
;;Deponiegas;15300;e;14508;e
;;Sonstige erneuerbare Energien;32842;e;30321;e
;;Klärschlamm;18594;e;16952;e
;;Abfall (Hausmüll, Industrie);631453;e;480621;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12723998;e;12144318;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;41197;e;38667;e
;;Andere Speicher;-;;-;
;;Insgesamt;46054887;e;43066004;e
;Dezember;Steinkohlen;11465926;e;10588335;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13580260;e;12495315;e
;;Hartbraunkohlen;11289;e;9228;e
;;Braunkohlenbriketts;3218;e;2782;e
;;Braunkohlenkoks;210;e;161;e
;;Wirbelschichtkohle;33220;e;25598;e
;;Staub- und Trockenkohle;58377;e;52718;e
;;Sonstige Braunkohlen;12130;e;11425;e
;;Dieselkraftstoff;1321;e;1275;e
;;Heizöl, leicht;44999;e;40150;e
;;Heizöl, schwer;64861;e;60205;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;39545;e;36347;e
;;Sonstige Mineralölprodukte;72493;e;66429;e
;;Erdgas, Erdölgas;5517298;e;5346888;e
;;Grubengas;49747;e;45771;e
;;Kokereigas;4713;e;4299;e
;;Hochofengas;263349;e;244569;e
;;Sonstige hergestellte Gase;13983;e;12071;e
;;Wasserstoff;-;;-;
;;Laufwasser;1280640;e;1253429;e
;;Speicherwasser;41995;e;41407;e
;;Pumpspeicherwasser;643916;e;634446;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;47772;e;47645;e
;;Photovoltaik;511;e;510;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;173158;e;160836;e
;;Flüssige biogene Stoffe;6057;e;5741;e
;;Biogas;1542;e;1423;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2170;e;2110;e
;;Deponiegas;15644;e;14831;e
;;Sonstige erneuerbare Energien;26828;e;24820;e
;;Klärschlamm;16220;e;14796;e
;;Abfall (Hausmüll, Industrie);680804;e;525585;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13909812;e;13212069;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;43048;e;40790;e
;;Andere Speicher;-;;-;
;;Insgesamt;48127055;e;45024003;e
2007;Januar;Steinkohlen;10821255;e;9978339;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12600051;e;11567748;e
;;Hartbraunkohlen;10581;e;8729;e
;;Braunkohlenbriketts;7304;e;6558;e
;;Braunkohlenkoks;89;e;65;e
;;Wirbelschichtkohle;29336;e;25888;e
;;Staub- und Trockenkohle;34274;e;30137;e
;;Sonstige Braunkohlen;15499;e;14540;e
;;Dieselkraftstoff;628;e;518;e
;;Heizöl, leicht;67276;e;61599;e
;;Heizöl, schwer;65278;e;60578;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;52011;e;48002;e
;;Sonstige Mineralölprodukte;84193;e;77125;e
;;Erdgas, Erdölgas;5424053;e;5264850;e
;;Grubengas;50568;e;46539;e
;;Kokereigas;47277;e;44180;e
;;Hochofengas;236808;e;220344;e
;;Sonstige hergestellte Gase;20340;e;18934;e
;;Wasserstoff;-;;-;
;;Laufwasser;1271751;e;1254063;e
;;Speicherwasser;65362;e;64870;e
;;Pumpspeicherwasser;714466;e;700989;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;69088;e;68900;e
;;Photovoltaik;1056;e;1056;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;203328;e;187788;e
;;Flüssige biogene Stoffe;7196;e;6787;e
;;Biogas;3571;e;3383;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2163;e;2087;e
;;Deponiegas;16130;e;15320;e
;;Sonstige erneuerbare Energien;2536;e;2380;e
;;Klärschlamm;12610;e;11532;e
;;Abfall (Hausmüll, Industrie);695375;e;531392;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13914654;e;13217541;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;46364;e;44046;e
;;Andere Speicher;-;;-;
;;Insgesamt;46592471;e;43586805;e
;Februar;Steinkohlen;11029529;e;10175022;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11978345;e;11021797;e
;;Hartbraunkohlen;11124;e;9204;e
;;Braunkohlenbriketts;6939;e;6185;e
;;Braunkohlenkoks;649;e;493;e
;;Wirbelschichtkohle;26440;e;21011;e
;;Staub- und Trockenkohle;56219;e;50845;e
;;Sonstige Braunkohlen;13872;e;13004;e
;;Dieselkraftstoff;561;e;470;e
;;Heizöl, leicht;34126;e;30834;e
;;Heizöl, schwer;45045;e;41720;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;32102;e;29570;e
;;Sonstige Mineralölprodukte;65322;e;59927;e
;;Erdgas, Erdölgas;4997956;e;4841661;e
;;Grubengas;42003;e;38895;e
;;Kokereigas;45108;e;42172;e
;;Hochofengas;217915;e;205309;e
;;Sonstige hergestellte Gase;21882;e;20060;e
;;Wasserstoff;-;;-;
;;Laufwasser;1133949;e;1114658;e
;;Speicherwasser;35797;e;35328;e
;;Pumpspeicherwasser;645792;e;635394;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;33915;e;33841;e
;;Photovoltaik;262;e;262;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;188951;e;174955;e
;;Flüssige biogene Stoffe;7362;e;6995;e
;;Biogas;3202;e;3039;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1982;e;1929;e
;;Deponiegas;13701;e;12974;e
;;Sonstige erneuerbare Energien;4600;e;4328;e
;;Klärschlamm;16100;e;14702;e
;;Abfall (Hausmüll, Industrie);620487;e;485690;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12798556;e;12166297;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;43914;e;41726;e
;;Andere Speicher;-;;-;
;;Insgesamt;44173707;e;41340295;e
;März;Steinkohlen;11353010;e;10462849;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13319034;e;12278328;e
;;Hartbraunkohlen;10394;e;8288;e
;;Braunkohlenbriketts;8065;e;7234;e
;;Braunkohlenkoks;145;e;111;e
;;Wirbelschichtkohle;14736;e;11915;e
;;Staub- und Trockenkohle;42506;e;39004;e
;;Sonstige Braunkohlen;10101;e;9491;e
;;Dieselkraftstoff;177;e;80;e
;;Heizöl, leicht;46666;e;41741;e
;;Heizöl, schwer;50969;e;47055;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;15908;e;14607;e
;;Sonstige Mineralölprodukte;146135;e;133826;e
;;Erdgas, Erdölgas;5056121;e;4903429;e
;;Grubengas;48206;e;44648;e
;;Kokereigas;54268;e;50760;e
;;Hochofengas;255290;e;237874;e
;;Sonstige hergestellte Gase;17518;e;15788;e
;;Wasserstoff;-;;-;
;;Laufwasser;1363255;e;1336708;e
;;Speicherwasser;45589;e;45149;e
;;Pumpspeicherwasser;643978;e;633189;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;46980;e;46865;e
;;Photovoltaik;381;e;381;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;175575;e;162182;e
;;Flüssige biogene Stoffe;7767;e;7574;e
;;Biogas;3478;e;3273;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2195;e;2141;e
;;Deponiegas;14947;e;14204;e
;;Sonstige erneuerbare Energien;4852;e;4562;e
;;Klärschlamm;14388;e;13193;e
;;Abfall (Hausmüll, Industrie);704220;e;539245;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;13605431;e;12909976;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;51099;e;48569;e
;;Andere Speicher;-;;-;
;;Insgesamt;47133384;e;44074238;e
;April;Steinkohlen;10428506;e;9639908;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11527502;e;10588284;e
;;Hartbraunkohlen;1516;e;982;e
;;Braunkohlenbriketts;8722;e;7896;e
;;Braunkohlenkoks;216;e;155;e
;;Wirbelschichtkohle;35737;e;29807;e
;;Staub- und Trockenkohle;53349;e;47567;e
;;Sonstige Braunkohlen;5949;e;5552;e
;;Dieselkraftstoff;99;e;60;e
;;Heizöl, leicht;31392;e;28608;e
;;Heizöl, schwer;36662;e;34038;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;20429;e;18980;e
;;Sonstige Mineralölprodukte;207091;e;189599;e
;;Erdgas, Erdölgas;4171805;e;4048589;e
;;Grubengas;47712;e;44153;e
;;Kokereigas;56345;e;52473;e
;;Hochofengas;246881;e;228424;e
;;Sonstige hergestellte Gase;19683;e;18245;e
;;Wasserstoff;-;;-;
;;Laufwasser;1093164;e;1075438;e
;;Speicherwasser;29563;e;29175;e
;;Pumpspeicherwasser;520637;e;514700;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;25427;e;25360;e
;;Photovoltaik;470;e;470;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;156853;e;143680;e
;;Flüssige biogene Stoffe;5853;e;5524;e
;;Biogas;3249;e;3066;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2129;e;2083;e
;;Deponiegas;14312;e;13617;e
;;Sonstige erneuerbare Energien;3464;e;3260;e
;;Klärschlamm;11880;e;10885;e
;;Abfall (Hausmüll, Industrie);675569;e;525069;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;11802309;e;11188641;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;37650;e;35650;e
;;Andere Speicher;-;;-;
;;Insgesamt;41282124;e;38559939;e
;Mai;Steinkohlen;9594117;e;8850938;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12015570;e;11032234;e
;;Hartbraunkohlen;522;e;372;e
;;Braunkohlenbriketts;5716;e;5113;e
;;Braunkohlenkoks;154;e;109;e
;;Wirbelschichtkohle;38007;e;32204;e
;;Staub- und Trockenkohle;52827;e;47020;e
;;Sonstige Braunkohlen;12138;e;11486;e
;;Dieselkraftstoff;229;e;128;e
;;Heizöl, leicht;40466;e;36722;e
;;Heizöl, schwer;71100;e;65713;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;11064;e;10357;e
;;Sonstige Mineralölprodukte;106459;e;97481;e
;;Erdgas, Erdölgas;4028304;e;3890369;e
;;Grubengas;50320;e;46657;e
;;Kokereigas;55938;e;52147;e
;;Hochofengas;224604;e;207504;e
;;Sonstige hergestellte Gase;15160;e;13622;e
;;Wasserstoff;-;;-;
;;Laufwasser;1343386;e;1322070;e
;;Speicherwasser;38310;e;37941;e
;;Pumpspeicherwasser;585421;e;577483;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;33290;e;33230;e
;;Photovoltaik;458;e;458;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;183021;e;167300;e
;;Flüssige biogene Stoffe;4552;e;4288;e
;;Biogas;4128;e;3928;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2256;e;2168;e
;;Deponiegas;15021;e;14323;e
;;Sonstige erneuerbare Energien;3653;e;3378;e
;;Klärschlamm;9929;e;9045;e
;;Abfall (Hausmüll, Industrie);708408;e;557350;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;11847436;e;11239942;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;39386;e;37015;e
;;Andere Speicher;-;;-;
;;Insgesamt;41141351;e;38410094;e
;Juni;Steinkohlen;9374844;e;8641861;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12026962;e;11065655;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;4963;e;4449;e
;;Braunkohlenkoks;143;e;99;e
;;Wirbelschichtkohle;36714;e;30881;e
;;Staub- und Trockenkohle;37777;e;33553;e
;;Sonstige Braunkohlen;12886;e;12194;e
;;Dieselkraftstoff;231;e;163;e
;;Heizöl, leicht;36768;e;32727;e
;;Heizöl, schwer;84269;e;77483;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;22355;e;21054;e
;;Sonstige Mineralölprodukte;157744;e;144286;e
;;Erdgas, Erdölgas;3947469;e;3820585;e
;;Grubengas;47134;e;43401;e
;;Kokereigas;54388;e;50673;e
;;Hochofengas;240604;e;222555;e
;;Sonstige hergestellte Gase;16748;e;14941;e
;;Wasserstoff;-;;-;
;;Laufwasser;1569625;e;1512115;e
;;Speicherwasser;53124;e;52734;e
;;Pumpspeicherwasser;614315;e;603531;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;22566;e;22511;e
;;Photovoltaik;469;e;469;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;187512;e;173745;e
;;Flüssige biogene Stoffe;2124;e;1977;e
;;Biogas;4104;e;3839;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2114;e;2064;e
;;Deponiegas;15104;e;14393;e
;;Sonstige erneuerbare Energien;2187;e;2026;e
;;Klärschlamm;9623;e;8796;e
;;Abfall (Hausmüll, Industrie);648004;e;508460;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;11111699;e;10526097;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;42593;e;39336;e
;;Andere Speicher;-;;-;
;;Insgesamt;40387162;e;37688653;e
;Juli;Steinkohlen;9252861;e;8542395;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12876865;e;11840911;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;3158;e;2746;e
;;Braunkohlenkoks;206;e;140;e
;;Wirbelschichtkohle;35729;e;29734;e
;;Staub- und Trockenkohle;26094;e;21290;e
;;Sonstige Braunkohlen;22115;e;20877;e
;;Dieselkraftstoff;153;e;129;e
;;Heizöl, leicht;30703;e;27732;e
;;Heizöl, schwer;49113;e;45064;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;626;e;585;e
;;Sonstige Mineralölprodukte;132255;e;120959;e
;;Erdgas, Erdölgas;3663469;e;3545042;e
;;Grubengas;47788;e;43843;e
;;Kokereigas;75761;e;70713;e
;;Hochofengas;240718;e;223046;e
;;Sonstige hergestellte Gase;17995;e;16590;e
;;Wasserstoff;-;;-;
;;Laufwasser;1638992;e;1612376;e
;;Speicherwasser;74278;e;73741;e
;;Pumpspeicherwasser;612964;e;604416;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;30026;e;29936;e
;;Photovoltaik;510;e;508;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;201357;e;185717;e
;;Flüssige biogene Stoffe;4044;e;3916;e
;;Biogas;3921;e;3650;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2223;e;2154;e
;;Deponiegas;15291;e;14677;e
;;Sonstige erneuerbare Energien;243;e;228;e
;;Klärschlamm;11114;e;10205;e
;;Abfall (Hausmüll, Industrie);718870;e;566282;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;9839132;e;9307317;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;50826;e;48061;e
;;Andere Speicher;-;;-;
;;Insgesamt;39679400;e;37014980;e
;August;Steinkohlen;9855934;e;9088091;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13044978;e;11987170;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;2696;e;2303;e
;;Braunkohlenkoks;137;e;100;e
;;Wirbelschichtkohle;9771;e;7878;e
;;Staub- und Trockenkohle;14851;e;12506;e
;;Sonstige Braunkohlen;20635;e;19458;e
;;Dieselkraftstoff;133;e;86;e
;;Heizöl, leicht;35744;e;32550;e
;;Heizöl, schwer;45322;e;41439;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;1239;e;1142;e
;;Sonstige Mineralölprodukte;135376;e;123703;e
;;Erdgas, Erdölgas;3417095;e;3306888;e
;;Grubengas;45637;e;42054;e
;;Kokereigas;70501;e;65712;e
;;Hochofengas;235021;e;217881;e
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1520778;e;1486885;e
;;Speicherwasser;70247;e;69840;e
;;Pumpspeicherwasser;620402;e;612850;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;24562;e;24495;e
;;Photovoltaik;462;e;458;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;203777;e;188007;e
;;Flüssige biogene Stoffe;4921;e;4772;e
;;Biogas;3648;e;3475;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2236;e;2062;e
;;Deponiegas;15059;e;14419;e
;;Sonstige erneuerbare Energien;28;e;28;e
;;Klärschlamm;12592;e;11574;e
;;Abfall (Hausmüll, Industrie);730517;e;576578;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;9907924;e;9372711;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;44969;e;42503;e
;;Andere Speicher;-;;-;
;;Insgesamt;40097192;e;37359618;e
;September;Steinkohlen;10549125;e;9745352;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11805829;e;10848998;e
;;Hartbraunkohlen;405;e;229;e
;;Braunkohlenbriketts;2131;e;1843;e
;;Braunkohlenkoks;140;e;103;e
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;48138;e;42650;e
;;Sonstige Braunkohlen;18807;e;18668;e
;;Dieselkraftstoff;1403;e;1331;e
;;Heizöl, leicht;42996;e;38074;e
;;Heizöl, schwer;34080;e;31309;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;1788;e;1649;e
;;Sonstige Mineralölprodukte;10487;e;9699;e
;;Erdgas, Erdölgas;4253262;e;4118915;e
;;Grubengas;43107;e;39872;e
;;Kokereigas;57686;e;53852;e
;;Hochofengas;199676;e;186871;e
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1562173;e;1538330;e
;;Speicherwasser;96774;e;96096;e
;;Pumpspeicherwasser;583911;e;575025;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;34845;e;34746;e
;;Photovoltaik;387;e;386;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;184625;e;170863;e
;;Flüssige biogene Stoffe;3782;e;3679;e
;;Biogas;3435;e;3220;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2233;e;2154;e
;;Deponiegas;14669;e;14045;e
;;Sonstige erneuerbare Energien;128;e;121;e
;;Klärschlamm;12405;e;11423;e
;;Abfall (Hausmüll, Industrie);683282;e;528006;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;10165343;e;9622999;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;41324;e;39134;e
;;Andere Speicher;-;;-;
;;Insgesamt;40458376;e;37779642;e
;Oktober;Steinkohlen;12600571;e;11645693;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13010601;e;11966640;e
;;Hartbraunkohlen;6047;e;4581;e
;;Braunkohlenbriketts;1171;e;975;e
;;Braunkohlenkoks;149;e;112;e
;;Wirbelschichtkohle;38716;e;32954;e
;;Staub- und Trockenkohle;49375;e;43547;e
;;Sonstige Braunkohlen;15674;e;14794;e
;;Dieselkraftstoff;604;e;506;e
;;Heizöl, leicht;58259;e;52527;e
;;Heizöl, schwer;38603;e;35846;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;5092;e;4658;e
;;Sonstige Mineralölprodukte;11507;e;10674;e
;;Erdgas, Erdölgas;5889270;e;5701631;e
;;Grubengas;43966;e;40634;e
;;Kokereigas;57835;e;54214;e
;;Hochofengas;220296;e;207286;e
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1161205;e;1123734;e
;;Speicherwasser;56979;e;56489;e
;;Pumpspeicherwasser;650586;e;642967;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;23410;e;23366;e
;;Photovoltaik;346;e;346;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;193968;e;178659;e
;;Flüssige biogene Stoffe;4870;e;4737;e
;;Biogas;3700;e;3472;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;2342;e;2291;e
;;Deponiegas;15082;e;14413;e
