Jahr,Typ,Elektrizitätserzeugung (brutto),Elektrizitätserzeugung (netto)
2004,Feste biogene Stoffe,740096.0,675774.0
2004,Flüssige biogene Stoffe,0.0,0.0
2004,Flüssiggas,497.0,482.0
2004,Geothermie,0.0,0.0
2004,Grubengas,341322.0,313046.0
2004,Hartbraunkohlen,1264.0,1176.0
2004,"Heizöl, leicht",524520.0,481344.0
2004,"Heizöl, schwer",468929.0,430681.0
2004,Hochofengas,3641624.0,3431558.0
2004,Insgesamt,533273159.0,498816964.0
2004,Kernenergie,167064610.0,158378456.0
2004,Klärgas,20957.0,20148.0
2004,Klärschlamm,158573.0,137523.0
2004,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2004,Kokereigas,46373.0,41983.0
2004,Laufwasser,15704243.0,15495953.0
2004,Petrolkoks,1571373.0,1460389.0
2004,Photovoltaik,3111.0,3033.0
2004,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2004,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2004,Pumpspeicherwasser,6364152.0,6273414.0
2004,Raffineriegas,0.0,0.0
2004,Rohbraunkohlen,154007907.0,142136151.0
2004,Solarthermie,0.0,0.0
2004,Sonstige Braunkohlen,502297.0,436979.0
2004,Sonstige Energieträger,541723.0,476303.0
2004,Sonstige Mineralölprodukte,1041871.0,954418.0
2004,Sonstige Steinkohlen,0.0,0.0
2004,Sonstige erneuerbare Energien,210215.0,193418.0
2004,Sonstige hergestellte Gase,268884.0,247225.0
2004,Speicherwasser,1689918.0,1661450.0
2004,Staub- und Trockenkohle,476618.0,428204.0
2004,Steinkohlen,126565312.0,116640379.0
2004,Steinkohlenbriketts,0.0,0.0
2004,Steinkohlenkoks,0.0,0.0
2004,Strom (Elektrokessel),0.0,0.0
2004,Wasserstoff,0.0,0.0
2004,Windkraft,294620.0,287558.0
2004,Wirbelschichtkohle,0.0,0.0
2004,Wärme,0.0,0.0
2004,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2005,"Abfall (Hausmüll, Industrie)",6074878.0,4524205.0
2005,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2005,Abfall (Industrie),0.0,0.0
2005,Andere Speicher,0.0,0.0
2005,Biogas,18530.0,17191.0
2005,Biomethan (Bioerdgas),0.0,0.0
2005,Braunkohlenbriketts,49040.0,40265.0
2005,Braunkohlenkoks,0.0,0.0
2005,Deponiegas,207230.0,201636.0
2005,Dieselkraftstoff,10008.0,9631.0
2005,"Erdgas, Erdölgas",54148537.0,52310471.0
2005,Feste biogene Stoffe,1633905.0,1542493.0
2005,Flüssige biogene Stoffe,18940.0,17864.0
2005,Flüssiggas,1488.0,1409.0
2005,Geothermie,0.0,0.0
2005,Grubengas,412950.0,377588.0
2005,Hartbraunkohlen,0.0,0.0
2005,"Heizöl, leicht",839103.0,780815.0
2005,"Heizöl, schwer",533803.0,492848.0
2005,Hochofengas,2922480.0,2743325.0
2005,Insgesamt,532385571.0,497513512.0
2005,Kernenergie,163054689.0,154612295.0
2005,Klärgas,21770.0,20985.0
2005,Klärschlamm,171350.0,155546.0
2005,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2005,Kokereigas,47386.0,42711.0
2005,Laufwasser,15283518.0,15019200.0
2005,Petrolkoks,2079635.0,1912373.0
2005,Photovoltaik,4854.0,4759.0
2005,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2005,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2005,Pumpspeicherwasser,7429477.0,7308299.0
2005,Raffineriegas,0.0,0.0
2005,Rohbraunkohlen,150127463.0,138205072.0
2005,Solarthermie,0.0,0.0
2005,Sonstige Braunkohlen,196752.0,186717.0
2005,Sonstige Energieträger,512764.0,461587.0
2005,Sonstige Mineralölprodukte,1206490.0,1118141.0
2005,Sonstige Steinkohlen,0.0,0.0
2005,Sonstige erneuerbare Energien,544476.0,501970.0
2005,Sonstige hergestellte Gase,275682.0,253826.0
2005,Speicherwasser,636645.0,622527.0
2005,Staub- und Trockenkohle,545007.0,493265.0
2005,Steinkohlen,122759695.0,112973021.0
2005,Steinkohlenbriketts,0.0,0.0
2005,Steinkohlenkoks,0.0,0.0
2005,Strom (Elektrokessel),0.0,0.0
2005,Wasserstoff,0.0,0.0
2005,Windkraft,312331.0,308215.0
2005,Wirbelschichtkohle,304690.0,250766.0
2005,Wärme,0.0,0.0
2005,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2006,"Abfall (Hausmüll, Industrie)",7267272.0,5523466.0
2006,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2006,Abfall (Industrie),0.0,0.0
2006,Andere Speicher,0.0,0.0
2006,Biogas,11915.0,10830.0
2006,Biomethan (Bioerdgas),0.0,0.0
2006,Braunkohlenbriketts,43568.0,37399.0
2006,Braunkohlenkoks,2571.0,1875.0
2006,Deponiegas,191656.0,183550.0
2006,Dieselkraftstoff,9602.0,9156.0
2006,"Erdgas, Erdölgas",56826925.0,54957743.0
2006,Feste biogene Stoffe,1863611.0,1726401.0
2006,Flüssige biogene Stoffe,38692.0,36419.0
2006,Flüssiggas,0.0,0.0
2006,Geothermie,0.0,0.0
2006,Grubengas,525560.0,488123.0
2006,Hartbraunkohlen,65284.0,54358.0
2006,"Heizöl, leicht",647099.0,588317.0
2006,"Heizöl, schwer",703001.0,648098.0
2006,Hochofengas,2845856.0,2661588.0
2006,Insgesamt,540181438.0,504927984.0
2006,Kernenergie,167269153.0,158710790.0
2006,Klärgas,25048.0,24228.0
2006,Klärschlamm,210541.0,191678.0
2006,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2006,Kokereigas,31311.0,28802.0
2006,Laufwasser,15586139.0,15295978.0
2006,Petrolkoks,1344827.0,1247656.0
2006,Photovoltaik,5234.0,5189.0
2006,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2006,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2006,Pumpspeicherwasser,7372996.0,7244618.0
2006,Raffineriegas,0.0,0.0
2006,Rohbraunkohlen,147047112.0,135087260.0
2006,Solarthermie,0.0,0.0
2006,Sonstige Braunkohlen,157652.0,148615.0
2006,Sonstige Energieträger,573247.0,541038.0
2006,Sonstige Mineralölprodukte,916993.0,840672.0
2006,Sonstige Steinkohlen,0.0,0.0
2006,Sonstige erneuerbare Energien,394702.0,364129.0
2006,Sonstige hergestellte Gase,233565.0,216877.0
2006,Speicherwasser,616553.0,607389.0
2006,Staub- und Trockenkohle,400481.0,347581.0
2006,Steinkohlen,126259053.0,116470180.0
2006,Steinkohlenbriketts,0.0,0.0
2006,Steinkohlenkoks,0.0,0.0
2006,Strom (Elektrokessel),0.0,0.0
2006,Wasserstoff,0.0,0.0
2006,Windkraft,341158.0,340179.0
2006,Wirbelschichtkohle,353068.0,287805.0
2006,Wärme,0.0,0.0
2006,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2007,"Abfall (Hausmüll, Industrie)",8259888.0,6398662.0
2007,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2007,Abfall (Industrie),0.0,0.0
2007,Andere Speicher,0.0,0.0
2007,Biogas,43933.0,41389.0
2007,Biomethan (Bioerdgas),0.0,0.0
2007,Braunkohlenbriketts,56831.0,50551.0
2007,Braunkohlenkoks,2329.0,1716.0
2007,Deponiegas,177837.0,169709.0
2007,Dieselkraftstoff,7791.0,6792.0
2007,"Erdgas, Erdölgas",58072575.0,56256917.0
2007,Feste biogene Stoffe,2276371.0,2100075.0
2007,Flüssige biogene Stoffe,59912.0,57463.0
2007,Flüssiggas,0.0,0.0
2007,Geothermie,0.0,0.0
2007,Grubengas,542972.0,501313.0
2007,Hartbraunkohlen,73464.0,60274.0
2007,"Heizöl, leicht",540439.0,490084.0
2007,"Heizöl, schwer",588656.0,544146.0
2007,Hochofengas,2764861.0,2572847.0
2007,Insgesamt,522781496.0,488369371.0
2007,Kernenergie,140534043.0,133229498.0
2007,Klärgas,26271.0,25410.0
2007,Klärschlamm,149243.0,136933.0
2007,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2007,Kokereigas,691978.0,646144.0
2007,Laufwasser,16162534.0,15823967.0
2007,Petrolkoks,254955.0,236987.0
2007,Photovoltaik,5543.0,5529.0
2007,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2007,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2007,Pumpspeicherwasser,7554234.0,7439544.0
2007,Raffineriegas,0.0,0.0
2007,Rohbraunkohlen,150681563.0,138564709.0
2007,Solarthermie,0.0,0.0
2007,Sonstige Braunkohlen,173838.0,164761.0
2007,Sonstige Energieträger,526882.0,496684.0
2007,Sonstige Mineralölprodukte,1302347.0,1192742.0
2007,Sonstige Steinkohlen,0.0,0.0
2007,Sonstige erneuerbare Energien,22243.0,20829.0
2007,Sonstige hergestellte Gase,137528.0,126382.0
2007,Speicherwasser,711286.0,705429.0
2007,Staub- und Trockenkohle,504190.0,447221.0
2007,Steinkohlen,129095346.0,119131139.0
2007,Steinkohlenbriketts,0.0,0.0
2007,Steinkohlenkoks,0.0,0.0
2007,Strom (Elektrokessel),0.0,0.0
2007,Wasserstoff,0.0,0.0
2007,Windkraft,443151.0,442074.0
2007,Wirbelschichtkohle,336465.0,281454.0
2007,Wärme,0.0,0.0
2007,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2008,"Abfall (Hausmüll, Industrie)",8978515.0,7049002.0
2008,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2008,Abfall (Industrie),0.0,0.0
2008,Andere Speicher,0.0,0.0
2008,Biogas,58692.0,56019.0
2008,Biomethan (Bioerdgas),0.0,0.0
2008,Braunkohlenbriketts,34217.0,29629.0
2008,Braunkohlenkoks,2106.0,1561.0
2008,Deponiegas,160309.0,153170.0
2008,Dieselkraftstoff,7500.0,6729.0
2008,"Erdgas, Erdölgas",68985671.0,66936720.0
2008,Feste biogene Stoffe,2876039.0,2635180.0
2008,Flüssige biogene Stoffe,53947.0,52248.0
2008,Flüssiggas,0.0,0.0
2008,Geothermie,17325.0,12078.0
2008,Grubengas,404855.0,387442.0
2008,Hartbraunkohlen,94346.0,78569.0
2008,"Heizöl, leicht",507289.0,462417.0
2008,"Heizöl, schwer",573306.0,529916.0
2008,Hochofengas,2453368.0,2280769.0
2008,Insgesamt,522778031.0,488581285.0
2008,Kernenergie,148495246.0,140710087.0
2008,Klärgas,29083.0,27483.0
2008,Klärschlamm,142462.0,130660.0
2008,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2008,Kokereigas,552326.0,515282.0
2008,Laufwasser,15672889.0,15383158.0
2008,Petrolkoks,462020.0,426545.0
2008,Photovoltaik,7308.0,7308.0
2008,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2008,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2008,Pumpspeicherwasser,6521038.0,6415568.0
2008,Raffineriegas,0.0,0.0
2008,Rohbraunkohlen,146440893.0,134498392.0
2008,Solarthermie,0.0,0.0
2008,Sonstige Braunkohlen,290574.0,274164.0
2008,Sonstige Energieträger,560685.0,526695.0
2008,Sonstige Mineralölprodukte,1322503.0,1211524.0
2008,Sonstige Steinkohlen,0.0,0.0
2008,Sonstige erneuerbare Energien,434.0,434.0
2008,Sonstige hergestellte Gase,24068.0,24068.0
2008,Speicherwasser,809694.0,802456.0
2008,Staub- und Trockenkohle,556092.0,501643.0
2008,Steinkohlen,114885390.0,105713574.0
2008,Steinkohlenbriketts,0.0,0.0
2008,Steinkohlenkoks,0.0,0.0
2008,Strom (Elektrokessel),0.0,0.0
2008,Wasserstoff,0.0,0.0
2008,Windkraft,462228.0,459919.0
2008,Wirbelschichtkohle,335614.0,280874.0
2008,Wärme,0.0,0.0
2008,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2009,"Abfall (Hausmüll, Industrie)",9352547.0,7283342.0
2009,"Abfall (Hausmüll, Siedlungsabfälle)",8273079.0,6415342.0
2009,Abfall (Industrie),1079468.0,868000.0
2009,Andere Speicher,0.0,0.0
2009,Biogas,111151.0,106540.0
2009,Biomethan (Bioerdgas),0.0,0.0
2009,Braunkohlenbriketts,22067.0,19409.0
2009,Braunkohlenkoks,1914.0,1444.0
2009,Deponiegas,126843.0,114831.0
2009,Dieselkraftstoff,1682.0,1548.0
2009,"Erdgas, Erdölgas",59481233.0,57599006.0
2009,Feste biogene Stoffe,3195718.0,2898048.0
2009,Flüssige biogene Stoffe,61369.0,58201.0
2009,Flüssiggas,12.0,12.0
2009,Geothermie,13552.0,9482.0
2009,Grubengas,375202.0,369769.0
2009,Hartbraunkohlen,10247.0,8567.0
2009,"Heizöl, leicht",522040.0,474550.0
2009,"Heizöl, schwer",589552.0,538659.0
2009,Hochofengas,1347407.0,1241735.0
2009,Insgesamt,478640060.0,446467074.0
2009,Kernenergie,134932034.0,127690281.0
2009,Klärgas,32773.0,30189.0
2009,Klärschlamm,150162.0,136941.0
2009,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2009,Kokereigas,411747.0,383720.0
2009,Laufwasser,14647871.0,14373719.0
2009,Petrolkoks,765742.0,705991.0
2009,Photovoltaik,20705.0,20705.0
2009,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2009,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2009,Pumpspeicherwasser,6049476.0,5925454.0
2009,Raffineriegas,0.0,0.0
2009,Rohbraunkohlen,142458893.0,130991918.0
2009,Solarthermie,0.0,0.0
2009,Sonstige Braunkohlen,167124.0,157465.0
2009,Sonstige Energieträger,538782.0,507018.0
2009,Sonstige Mineralölprodukte,1617856.0,1477066.0
2009,Sonstige Steinkohlen,0.0,0.0
2009,Sonstige erneuerbare Energien,426.0,426.0
2009,Sonstige hergestellte Gase,26124.0,26124.0
2009,Speicherwasser,747247.0,740526.0
2009,Staub- und Trockenkohle,314561.0,275589.0
2009,Steinkohlen,99856804.0,91653533.0
2009,Steinkohlenbriketts,0.0,0.0
2009,Steinkohlenkoks,0.0,0.0
2009,Strom (Elektrokessel),0.0,0.0
2009,Wasserstoff,0.0,0.0
2009,Windkraft,449582.0,448287.0
2009,Wirbelschichtkohle,239618.0,196987.0
2009,Wärme,0.0,0.0
2009,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2010,"Abfall (Hausmüll, Industrie)",10175077.0,8020179.0
2010,"Abfall (Hausmüll, Siedlungsabfälle)",8887672.0,6985943.0
2010,Abfall (Industrie),1287405.0,1034236.0
2010,Andere Speicher,0.0,0.0
2010,Biogas,202335.0,196749.0
2010,Biomethan (Bioerdgas),0.0,0.0
2010,Braunkohlenbriketts,23734.0,20922.0
2010,Braunkohlenkoks,1559.0,1173.0
2010,Deponiegas,100351.0,89395.0
