,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Variable,Perturbation,Cost_Sensitivity,GWP_Sensitivity,Cost_Normalized_Sensitivity,GWP_Normalized_Sensitivity
0,7.473611665920007,4.737570620222918,0.5783800753362033,9.576831356271072,9.426193315177075,7.8510209961323705,9.912175011940384,5.444216958999962,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Biomass,0%,,,,
1,6.818908451605755,4.802833368389216,0.5863475920714567,9.70875769217992,9.556044525810067,7.959173306080374,10.04872089873375,5.519214165129458,15.0,30.0,2025.0,9.42810053744047,25.16423104263331,Biomass,-10%,-0.01073360720951722,0.01798350592077471,0.12252698673928707,-0.2052865125832904
2,8.110760694788272,4.674057725057153,0.5706261871020123,9.448442286279239,9.299823731305647,7.745768512645779,9.779290252458221,5.37123061036367,15.0,30.0,2025.0,10.431780273690471,24.739313990949974,Biomass,+10%,0.09457993163682343,0.0007940853791622564,1.1094008597932388,0.00931443898452616
3,7.473611665920007,4.737570620222918,0.5783800753362033,9.576831356271072,9.426193315177075,7.8510209961323705,9.912175011940384,5.444216958999962,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Hard coal,0%,,,,
4,7.538546935888437,4.300860155866299,0.5834053921462244,9.660040674250137,9.5080937985119,7.919235427213452,9.998297998944077,5.491519617179466,15.0,30.0,2025.0,9.592334795357141,24.71968445094997,Hard coal,-10%,0.006499071977202085,0.0,-0.07050394934609028,-0.0
5,7.409785516528627,5.166821893873682,0.5734405929622738,9.495043286972697,9.345691725099815,7.7839716950214966,9.8275230402584,5.397722249283005,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Hard coal,+10%,0.0,0.0,0.0,0.0
6,7.473611665920007,4.737570620222918,0.5783800753362033,9.576831356271072,9.426193315177075,7.8510209961323705,9.912175011940384,5.444216958999962,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Hydropower,0%,,,,
7,7.481479190461472,4.742557894754654,0.5210900461665079,9.586912955247978,9.436116336408954,7.8592858221795,9.922609629586006,5.449948125194924,15.0,30.0,2025.0,9.592334795357141,24.71968445094997,Hydropower,-10%,0.006499071977202085,0.0,-0.06561235513871769,-0.0
8,7.465760670975787,4.732593823909449,0.6355497386775759,9.56677093864159,9.416291142122224,7.842773534409322,9.901762317331187,5.4384978339328605,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Hydropower,+10%,0.0,0.0,0.0,0.0
9,7.473611665920007,4.737570620222918,0.5783800753362033,9.576831356271072,9.426193315177075,7.8510209961323705,9.912175011940384,5.444216958999962,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Lignite,0%,,,,
10,7.60605143293888,4.821525042425366,0.5886295405011096,8.771888024807003,9.593234754088021,7.990148828573749,10.08782852565156,5.540693851014312,15.0,30.0,2025.0,9.799210814523805,24.73157232404997,Lignite,-10%,0.028206041734592922,0.00048090715411798463,-0.33558201473490684,-0.005721603662006095
11,7.345705157758653,4.656489860037884,0.5684814374174444,10.354222415715222,9.264869510021917,7.716655347232529,9.74253391326745,5.351042358548898,15.0,30.0,2025.0,9.530396065357142,24.71968445094997,Lignite,+10%,0.0,0.0,0.0,0.0
