,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP
0,8.420428623932459,2.3634242108604213,0.9015997648425712,13.1513301671754,13.383432656929514,11.204196938360766,4.221875130969788,1.3537125069290739,15.0,30.0,2025.0,11.659064517222223,25.475324672775017
1,2.025374748310385,8.218070434739953,0.5707198435563218,15.091291535282359,4.294772378243097,10.995372938900521,5.173229054674092,8.631169066293273,15.0,30.0,2025.0,10.708056631666663,25.693705915058327
2,10.427737396438772,2.6832877683069034,0.07456597898325563,11.011298452168957,9.5448011452385,9.843893556412896,10.41457962120786,0.9998360812428506,15.0,30.0,2025.0,10.269885675555553,25.41197986977501
3,0.6606916301466016,6.792760569474744,6.911401008603643,8.148811440530112,9.282246335169203,12.475151496186559,6.600308794893112,4.1286287249960205,15.0,30.0,2025.0,10.739404796547618,26.21196999780001
4,6.67013971104586,1.1921391691850671,0.3852027544029279,14.627374620873875,12.702658843962809,10.57527887001594,6.21401108550967,2.6331949450038517,15.0,30.0,2025.0,10.675565514722221,26.263952185650012
5,8.276630940862786,7.971164695884226,2.9159513109129063,7.304137570769041,6.709052294150943,10.36818425617565,10.692160337311032,0.7627185939334109,15.0,30.0,2025.0,10.314676508888885,25.41197986977501
6,2.1022044873973167,0.3801028312696779,1.9700570877631247,14.247354426302785,1.4849778145963943,6.653753718161451,17.623892573136708,0.4854468938221399,25.052210167550392,30.0,2025.0,9.154642340615075,27.065549241608327
7,1.5046421651864808,8.871845693508853,8.008592284223818,11.173218096261294,9.359966998439251,10.231058692449194,3.5912641559455114,2.2594119139855886,15.0,30.0,2025.0,10.907933299940476,26.362723636200027
8,1.348938521688996,11.806077462235569,6.609084745007053,10.810691308952853,4.186491842817235,11.71412393291535,5.09105353665322,0.1417647120054543,18.29177393772427,30.0,2025.0,10.805162752738092,26.73921857085002
9,0.8777716995244205,10.208246520755786,3.8723852477131935,3.834841507157861,8.409614346844615,9.800688321321102,10.201640141501107,7.794812215181917,15.0,30.0,2025.0,9.626917603571426,25.789707354358324
10,0.15716122412310568,12.540841751405814,0.5580713908500882,11.522763936067816,6.823343204178952,12.83935067963166,0.9542130569914862,7.161512080424889,17.442742676326187,30.0,2025.0,10.544994477619047,26.706695375108335
11,2.1704836794886124,10.019711182223784,2.8435914041791337,5.404310861262786,14.020775403753873,7.410119973358026,10.436884573276457,2.6941229224573306,15.0,30.0,2025.0,9.119775482519834,26.56915375493334
12,0.5831530854454984,11.858388847448538,9.314223315344652,1.2128068310892777,12.958594268494027,13.660146301939848,0.9060254894810736,4.10718051626216,15.39948134449493,30.0,2025.0,10.753273264166667,26.65428659140002
